date,slug,impressions,clicks,revenue_usd
2026-09-03,mortgage-equal-payment-vs-principal,150,12,1.125
2026-09-03,text-case-converter,110,9,0.825
2026-09-03,strong-password-generator,95,7,0.7125
2026-09-04,mortgage-equal-payment-vs-principal,180,15,1.35
2026-09-04,text-case-converter,140,11,1.05
2026-09-04,strong-password-generator,125,10,0.9375
2026-09-05,mortgage-equal-payment-vs-principal,210,17,1.575
2026-09-05,text-case-converter,170,14,1.275
2026-09-05,strong-password-generator,155,12,1.1625
2026-09-06,mortgage-equal-payment-vs-principal,240,20,1.8
2026-09-06,text-case-converter,200,16,1.5
2026-09-06,strong-password-generator,185,15,1.3875
2026-09-07,mortgage-equal-payment-vs-principal,270,22,2.025
2026-09-07,text-case-converter,230,19,1.725
2026-09-07,strong-password-generator,215,17,1.6125
2026-09-08,mortgage-equal-payment-vs-principal,300,25,2.25
2026-09-08,text-case-converter,260,21,1.95
2026-09-08,strong-password-generator,245,20,1.8375
2026-09-09,mortgage-equal-payment-vs-principal,330,27,2.475
2026-09-09,text-case-converter,290,24,2.175
2026-09-09,strong-password-generator,275,22,2.0625
